201
0.000000 0.000000 -0.000000
0.031416 0.023553 -0.031415
0.062832 0.047054 -0.062821
0.094248 0.070451 -0.094213
0.125664 0.093691 -0.125581
0.157079 0.116723 -0.156918
0.188495 0.139495 -0.188216
0.219911 0.161959 -0.219468
0.251327 0.184062 -0.250666
0.282743 0.205757 -0.281802
0.314159 0.226995 -0.312869
0.345575 0.247729 -0.343858
0.376991 0.267913 -0.374762
0.408407 0.287502 -0.405574
0.439823 0.306453 -0.436286
0.471238 0.324724 -0.466890
0.502654 0.342273 -0.497379
0.534070 0.359063 -0.527746
0.565486 0.375055 -0.557982
0.596902 0.390215 -0.588080
0.628318 0.404508 -0.618033
0.659734 0.417903 -0.647834
0.691150 0.430371 -0.677475
0.722566 0.441883 -0.706949
0.753982 0.452413 -0.736249
0.785397 0.461940 -0.765366
0.816813 0.470440 -0.794295
0.848229 0.477896 -0.823028
0.879645 0.484291 -0.851558
0.911061 0.489611 -0.879878
0.942477 0.493844 -0.907980
0.973893 0.496980 -0.935859
1.005309 0.499013 -0.963507
1.036725 0.499938 -0.990917
1.068141 0.499753 -1.018082
1.099556 0.498459 -1.044996
1.130972 0.496057 -1.071653
1.162388 0.492555 -1.098045
1.193804 0.487959 -1.124166
1.225220 0.482279 -1.150010
1.256636 0.475529 -1.175570
1.288052 0.467722 -1.200840
1.319468 0.458878 -1.225813
1.350884 0.449014 -1.250484
1.382300 0.438154 -1.274847
1.413715 0.426321 -1.298895
1.445131 0.413541 -1.322623
1.476547 0.399843 -1.346024
1.507963 0.385257 -1.369093
1.539379 0.369816 -1.391825
1.570795 0.353554 -1.414213
1.602211 0.336507 -1.436252
1.633627 0.318713 -1.457936
1.665043 0.300211 -1.479261
1.696459 0.281043 -1.500221
1.727874 0.261250 -1.520811
1.759290 0.240878 -1.541026
1.790706 0.219971 -1.560860
1.822122 0.198575 -1.580309
1.853538 0.176739 -1.599368
1.884954 0.154510 -1.618033
1.916370 0.131938 -1.636299
1.947786 0.109073 -1.654160
1.979202 0.085966 -1.671614
2.010618 0.062668 -1.688655
2.042033 0.039231 -1.705279
2.073449 0.015707 -1.721483
2.104865 -0.007852 -1.737262
2.136281 -0.031394 -1.752612
2.167697 -0.054866 -1.767530
2.199113 -0.078216 -1.782012
2.230529 -0.101392 -1.796054
2.261945 -0.124344 -1.809653
2.293361 -0.147019 -1.822806
2.324777 -0.169368 -1.835508
2.356192 -0.191340 -1.847758
2.387608 -0.212888 -1.859552
2.419024 -0.233964 -1.870887
2.450440 -0.254519 -1.881761
2.481856 -0.274510 -1.892170
2.513272 -0.293891 -1.902112
2.544688 -0.312620 -1.911585
2.576104 -0.330655 -1.920587
2.607520 -0.347955 -1.929114
2.638936 -0.364483 -1.937166
2.670351 -0.380202 -1.944739
2.701767 -0.395076 -1.951833
2.733183 -0.409074 -1.958445
2.764599 -0.422163 -1.964574
2.796015 -0.434315 -1.970218
2.827431 -0.445502 -1.975376
2.858847 -0.455701 -1.980047
2.890263 -0.464888 -1.984229
2.921679 -0.473042 -1.987922
2.953095 -0.480146 -1.991124
2.984510 -0.486185 -1.993834
