x,XSin(x)
34.5,1.983318
34.6,-1.469394
34.7,-4.927373
34.8,-8.355884
34.9,-11.720288
35,-14.986393
35.1,-18.120804
35.2,-21.091257
35.3,-23.86696
35.4,-26.418902
35.5,-28.720166
35.6,-30.746204
35.7,-32.4751
35.8,-33.887809
35.9,-34.96836
36,-35.704039
36.1,-36.085529
36.2,-36.10703
36.3,-35.766331
36.4,-35.064856
36.5,-34.007666
36.6,-32.603432
36.7,-30.864362
36.8,-28.806102
36.9,-26.447596
37,-23.810911
37.1,-20.921032
37.2,-17.805628
37.3,-14.494785
37.4,-11.020718
37.5,-7.417455
37.6,-3.720507
37.7,0.033484
37.8,3.807106
37.9,7.562555
38,11.262006
38.1,14.868001
38.2,18.343823
38.3,21.653873
38.4,24.764035
38.5,27.642022
38.6,30.257717
38.7,32.583485
38.8,34.594463
38.9,36.268825
39,37.58802
39.1,38.536972
39.2,39.104251
39.3,39.282208
39.4,39.067069
39.5,38.458995
39.6,37.462098
39.7,36.08442
39.8,34.337874
39.9,32.238139
40,29.804526
40.1,27.059801
40.2,24.029967
40.3,20.744027
40.4,17.233701
40.5,13.533123
40.6,9.678507
40.7,5.707796
40.8,1.660285
40.9,-2.423765
41,-6.503529
41.1,-10.538026
41.2,-14.48653
41.3,-18.308981
41.4,-21.966392
41.5,-25.421246
41.6,-28.637882
41.7,-31.58286
41.8,-34.22531
41.9,-36.537255
42,-38.493905
42.1,-40.073923
42.2,-41.259655
42.3,-42.037326
42.4,-42.397196
42.5,-42.333676
42.6,-41.845408
42.7,-40.935293
42.8,-39.610485
42.9,-37.882338
43,-35.766314
43.1,-33.281841
43.2,-30.45214
43.3,-27.304009
43.4,-23.867568
43.5,-20.175975
43.6,-16.265101
43.7,-12.173186
43.8,-7.940464
43.9,-3.608768
44,0.778885
44.1,5.178719
44.2,9.546637
44.3,13.838664
44.4,18.011387
44.5,22.022397
44.6,25.830716
44.7,29.39722
44.8,32.685038
44.9,35.659933
45,38.290659
45.1,40.549286
45.2,42.411498
45.3,43.856853
45.4,44.869005
45.5,45.435885
45.6,45.549844
45.7,45.207748
45.8,44.411029
45.9,43.165689
46,41.482264
46.1,39.375732
46.2,36.865388
46.3,33.974662
46.4,30.730908
46.5,27.165141
46.6,23.311744
46.7,19.208135
46.8,14.894405
46.9,10.412926
47,5.807937
47.1,1.125103
47.2,-3.588934
47.3,-8.28702
47.4,-12.921963
47.5,-17.447004
47.6,-21.816292
47.7,-25.985344
47.8,-29.911503
47.9,-33.554371
48,-36.876224
48.1,-39.842403
48.2,-42.421676
48.3,-44.586566
48.4,-46.313638
48.5,-47.583759
48.6,-48.382302
48.7,-48.699312
48.8,-48.529629
48.9,-47.872955
49,-46.73388
49.1,-45.121853
49.2,-43.051111
49.3,-40.540551
49.4,-37.613561
49.5,-34.297805
49.6,-30.62496
49.7,-26.630415
49.8,-22.352928
49.9,-17.834256
50,-13.118743
50.1,-8.252884
50.2,-3.284871
50.3,1.735888
50.4,6.759256
50.5,11.734875
50.6,16.612663
50.7,21.343322
50.8,25.878838
50.9,30.172962
51,34.181688
51.1,37.8637
51.2,41.1808
51.3,44.098298
51.4,46.585383
51.5,48.615439
51.6,50.166335
51.7,51.220659
51.8,51.765915
51.9,51.794668
52,51.304635
52.1,50.298728
52.2,48.785048
52.3,46.77682
52.4,44.292284
52.5,41.354524
52.6,37.991264
52.7,34.234598
52.8,30.120691
52.9,25.689429
53,20.984033
53.1,16.050636
53.2,10.937834
53.3,5.696204
53.4,0.377808
53.5,-4.96433
53.6,-10.276746
53.7,-15.506077
53.8,-20.599592
53.9,-25.505728
54,-30.174609
54.1,-34.558553
54.2,-38.612562
54.3,-42.294779
54.4,-45.566923
54.5,-48.394683
54.6,-50.748082
54.7,-52.60179
54.8,-53.935395
54.9,-54.733628
55,-54.986535
55.1,-54.689592
55.2,-53.843776
55.3,-52.455572
55.4,-50.536929
55.5,-48.105156
55.6,-45.182775
55.7,-41.797307
55.8,-37.981016
55.9,-33.770604
56,-29.206856
56.1,-24.334247
56.2,-19.200507
56.3,-13.856157
56.4,-8.354009
56.5,-2.748643
56.6,2.904129
56.7,8.547824
56.8,14.125851
56.9,19.582076
57,24.861391
57.1,29.910266
57.2,34.677296
57.3,39.113721
57.4,43.173926
57.5,46.815909
57.6,50.001715
57.7,52.697833
57.8,54.875543
57.9,56.511226
58,57.586614
58.1,58.088995
58.2,58.011358
58.3,57.352486
58.4,56.11698
58.5,54.315245
58.6,51.963393
58.7,49.083111
58.8,45.701455
58.9,41.850602
59,37.567542
59.1,32.893724
59.2,27.874654
59.3,22.559455
59.4,17.000385
59.5,11.25232
59.6,5.372219
59.7,-0.581444
59.8,-6.549263
59.9,-12.471491
60,-18.288637
60.1,-23.942066
60.2,-29.374587
60.3,-34.531036
60.4,-39.35883
60.5,-43.808509
60.6,-47.834239
60.7,-51.394284
60.8,-54.451438
60.9,-56.973414
61,-58.933184
61.1,-60.309267
61.2,-61.085961
61.3,-61.253523
61.4,-60.808282
61.5,-59.7527
61.6,-58.095363
61.7,-55.850918
61.8,-53.039944
61.9,-49.688764
62,-45.829203
62.1,-41.498285
62.2,-36.737875
62.3,-31.594281
62.4,-26.117799
62.5,-20.362222
62.6,-14.384316
62.7,-8.243254
62.8,-2.000035
62.9,4.283125
63,10.543409
63.1,16.718032
63.2,22.744867
63.3,28.563072
63.4,34.113703
63.5,39.34031
63.6,44.189516
63.7,48.611554
63.8,52.560785
63.9,55.996164
64,58.881666
64.1,61.186667
64.2,62.886262
64.3,63.961536
64.4,64.399774
64.5,64.194604
64.6,63.346081
64.7,61.860711
64.8,59.751399
64.9,57.037344
65,53.743864
65.1,49.902164
65.2,45.549035
65.3,40.726508
65.4,35.481449
65.5,29.865098
65.6,23.932574
65.7,17.742333
65.8,11.355592
65.9,4.835723
66,-1.752376
66.1,-8.342926
66.2,-14.869923
66.3,-21.267801
66.4,-27.472089
66.5,-33.420064
66.6,-39.051378
66.7,-44.308678
66.8,-49.138184
66.9,-53.490244
67,-57.319839
67.1,-60.587051
67.2,-63.257478
67.3,-65.302596
67.4,-66.70006
67.5,-67.43395
67.6,-67.494945
67.7,-66.88044
67.8,-65.59459
67.9,-63.64829
68,-61.059082
68.1,-57.851005
68.2,-54.054364
68.3,-49.705456
68.4,-44.846213
