"x","y","z"
0.557898, 0.529404 , 0.529404
0.561050, 0.532076 , 0.532076
0.564202, 0.534742 , 0.534742
0.567354, 0.537403 , 0.537403
0.570506, 0.540058 , 0.540058
0.573658, 0.542708 , 0.542708
0.576810, 0.545353 , 0.545353
0.579962, 0.547992 , 0.547992
0.583114, 0.550626 , 0.550626
0.586266, 0.553254 , 0.553254
0.589418, 0.555877 , 0.555877
0.592570, 0.558495 , 0.558495
0.595722, 0.561106 , 0.561106
0.598874, 0.563713 , 0.563713
0.602026, 0.566313 , 0.566313
0.605178, 0.568908 , 0.568908
0.608330, 0.571498 , 0.571498
0.611482, 0.574081 , 0.574081
0.614634, 0.576659 , 0.576659
0.617786, 0.579231 , 0.579231
0.620937, 0.581798 , 0.581798
0.624089, 0.584359 , 0.584359
0.627241, 0.586914 , 0.586914
0.630393, 0.589463 , 0.589463
0.633545, 0.592006 , 0.592006
0.636697, 0.594543 , 0.594543
0.639849, 0.597075 , 0.597075
0.643001, 0.599600 , 0.599600
0.646153, 0.602120 , 0.602120
0.649305, 0.604633 , 0.604633
0.652457, 0.607141 , 0.607141
0.655609, 0.609642 , 0.609642
0.658761, 0.612138 , 0.612138
0.661913, 0.614627 , 0.614627
0.665065, 0.617110 , 0.617110
0.668217, 0.619587 , 0.619587
0.671369, 0.622058 , 0.622058
0.674521, 0.624523 , 0.624523
0.677673, 0.626982 , 0.626982
0.680825, 0.629434 , 0.629434
0.683977, 0.631880 , 0.631880
0.687129, 0.634320 , 0.634320
0.690281, 0.636754 , 0.636754
0.693433, 0.639181 , 0.639181
0.696585, 0.641602 , 0.641602
0.699737, 0.644016 , 0.644016
0.702889, 0.646424 , 0.646424
0.706041, 0.648826 , 0.648826
0.709193, 0.651221 , 0.651221
0.712345, 0.653610 , 0.653610
0.715497, 0.655992 , 0.655992
0.718648, 0.658368 , 0.658368
0.721800, 0.660737 , 0.660737
0.724952, 0.663100 , 0.663100
0.728104, 0.665456 , 0.665456
0.731256, 0.667805 , 0.667805
0.734408, 0.670148 , 0.670148
0.737560, 0.672484 , 0.672484
0.740712, 0.674814 , 0.674814
0.743864, 0.677136 , 0.677136
0.747016, 0.679453 , 0.679453
0.750168, 0.681762 , 0.681762
0.753320, 0.684064 , 0.684064
0.756472, 0.686360 , 0.686360
0.759624, 0.688649 , 0.688649
0.762776, 0.690931 , 0.690931
0.765928, 0.693206 , 0.693206
0.769080, 0.695474 , 0.695474
0.772232, 0.697736 , 0.697736
0.775384, 0.699990 , 0.699990
0.778536, 0.702238 , 0.702238
0.781688, 0.704478 , 0.704478
0.784840, 0.706712 , 0.706712
0.787992, 0.708938 , 0.708938
0.791144, 0.711158 , 0.711158
0.794296, 0.713370 , 0.713370
0.797448, 0.715576 , 0.715576
0.800600, 0.717774 , 0.717774
0.803752, 0.719965 , 0.719965
0.806904, 0.722149 , 0.722149
0.810056, 0.724325 , 0.724325
0.813207, 0.726495 , 0.726495
0.816359, 0.728657 , 0.728657
0.819511, 0.730812 , 0.730812
0.822663, 0.732960 , 0.732960
0.825815, 0.735101 , 0.735101
0.828967, 0.737234 , 0.737234
0.832119, 0.739360 , 0.739360
0.835271, 0.741479 , 0.741479
0.838423, 0.743590 , 0.743590
0.841575, 0.745694 , 0.745694
0.844727, 0.747790 , 0.747790
0.847879, 0.749879 , 0.749879
0.851031, 0.751961 , 0.751961
0.854183, 0.754035 , 0.754035
0.857335, 0.756101 , 0.756101
0.860487, 0.758160 , 0.758160
0.863639, 0.760212 , 0.760212
0.866791, 0.762256 , 0.762256
0.869943, 0.764292 , 0.764292
0.873095, 0.766321 , 0.766321
0.876247, 0.768342 , 0.768342
0.879399, 0.770356 , 0.770356
0.882551, 0.772362 , 0.772362
0.885703, 0.774360 , 0.774360
0.888855, 0.776350 , 0.776350
0.892007, 0.778333 , 0.778333
0.895159, 0.780308 , 0.780308
0.898311, 0.782276 , 0.782276
0.901463, 0.784235 , 0.784235
0.904615, 0.786187 , 0.786187
0.907766, 0.788131 , 0.788131
0.910918, 0.790067 , 0.790067
0.914070, 0.791995 , 0.791995
0.917222, 0.793916 , 0.793916
0.920374, 0.795828 , 0.795828
0.923526, 0.797733 , 0.797733
0.926678, 0.799630 , 0.799630
0.929830, 0.801518 , 0.801518
0.932982, 0.803399 , 0.803399
0.936134, 0.805272 , 0.805272
0.939286, 0.807137 , 0.807137
0.942438, 0.808994 , 0.808994
0.945590, 0.810842 , 0.810842
0.948742, 0.812683 , 0.812683
0.951894, 0.814516 , 0.814516
0.955046, 0.816340 , 0.816340
0.958198, 0.818157 , 0.818157
0.961350, 0.819965 , 0.819965
0.964502, 0.821765 , 0.821765
0.967654, 0.823557 , 0.823557
0.970806, 0.825341 , 0.825341
0.973958, 0.827117 , 0.827117
0.977110, 0.828884 , 0.828884
0.980262, 0.830643 , 0.830643
0.983414, 0.832394 , 0.832394
0.986566, 0.834137 , 0.834137
0.989718, 0.835871 , 0.835871
0.992870, 0.837597 , 0.837597
0.996022, 0.839315 , 0.839315
0.999174, 0.841024 , 0.841024
1.002326, 0.842725 , 0.842725
1.005477, 0.844418 , 0.844418
1.008629, 0.846102 , 0.846102
1.011781, 0.847778 , 0.847778
1.014933, 0.849445 , 0.849445
